No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
166,2010,1,7,21,159,-19,-14,1032,cv,0.45,0,0
168,2010,1,7,23,190,-21,-16,1032,cv,2.23,0,0
169,2010,1,8,0,210,-21,-17,1031,NW,1.79,0,0
172,2010,1,8,3,164,-19,-15,1030,SE,0.89,0,0
173,2010,1,8,4,110,-18,-15,1030,cv,0.45,0,0
174,2010,1,8,5,100,-18,-15,1029,cv,1.34,0,0
175,2010,1,8,6,81,-18,-15,1029,NW,1.79,0,0
178,2010,1,8,9,92,-16,-12,1030,SE,1.78,0,0
179,2010,1,8,10,135,-17,-10,1030,NE,0.89,0,0
181,2010,1,8,12,198,-16,-9,1028,SE,3.13,0,0
183,2010,1,8,14,200,-16,-8,1026,cv,0.89,0,0
184,2010,1,8,15,231,-16,-8,1025,cv,1.78,0,0
185,2010,1,8,16,250,-16,-8,1025,cv,2.67,0,0
186,2010,1,8,17,212,-17,-8,1025,SE,0.89,0,0
187,2010,1,8,18,219,-17,-9,1026,cv,0.45,0,0
191,2010,1,8,22,168,-16,-9,1027,NW,4.92,0,0
193,2010,1,9,0,165,-17,-13,1027,cv,0.89,0,0
194,2010,1,9,1,159,-17,-13,1027,NW,3.13,0,0
196,2010,1,9,3,196,-17,-15,1027,NW,8.05,0,0
198,2010,1,9,5,155,-19,-16,1027,NW,13.86,0,0
199,2010,1,9,6,119,-18,-15,1027,NW,17.88,0,0
204,2010,1,9,11,66,-17,-6,1030,NE,17.43,0,0
205,2010,1,9,12,40,-16,-6,1029,NE,23.24,0,0
207,2010,1,9,14,50,-15,-4,1029,NE,33.08,0,0
208,2010,1,9,15,49,-14,-4,1028,NE,37.1,0,0
209,2010,1,9,16,41,-15,-4,1029,NE,38.89,0,0
211,2010,1,9,18,45,-15,-7,1030,NE,3.13,0,0
212,2010,1,9,19,44,-15,-6,1031,NW,3.13,0,0
214,2010,1,9,21,50,-15,-6,1032,NE,3.13,0,0
215,2010,1,9,22,47,-15,-8,1033,cv,0.45,0,0
216,2010,1,9,23,66,-15,-8,1033,cv,0.9,0,0
218,2010,1,10,1,82,-17,-13,1033,NW,1.78,0,0
219,2010,1,10,2,66,-17,-12,1033,NW,4.91,0,0
221,2010,1,10,4,62,-19,-14,1032,NW,9.83,0,0
222,2010,1,10,5,40,-18,-13,1032,NW,12.96,0,0
223,2010,1,10,6,23,-19,-13,1032,NW,16.09,0,0
224,2010,1,10,7,25,-19,-14,1033,NW,19.22,0,0
230,2010,1,10,13,58,-14,-6,1031,NW,9.39,0,0
233,2010,1,10,16,71,-14,-5,1031,NW,16.1,0,0
234,2010,1,10,17,88,-14,-6,1031,NW,19.23,0,0
236,2010,1,10,19,83,-15,-6,1032,NW,27.27,0,0
240,2010,1,10,23,22,-17,-5,1035,NW,52.31,0,0
244,2010,1,11,3,17,-20,-11,1036,NW,8.94,0,0
247,2010,1,11,6,16,-22,-12,1035,NE,4.92,0,0
251,2010,1,11,10,25,-22,-9,1036,NW,29.06,0,0
252,2010,1,11,11,26,-21,-9,1036,NW,33.08,0,0
255,2010,1,11,14,15,-19,-5,1033,NW,59.01,0,0
256,2010,1,11,15,24,-20,-5,1033,NW,66.16,0,0
257,2010,1,11,16,13,-20,-5,1032,NW,71.97,0,0
258,2010,1,11,17,13,-20,-5,1033,NW,76.89,0,0
260,2010,1,11,19,17,-22,-7,1033,NW,85.83,0,0
261,2010,1,11,20,20,-22,-8,1033,NW,89.85,0,0
262,2010,1,11,21,27,-23,-10,1033,NW,91.64,0,0
264,2010,1,11,23,15,-22,-12,1032,cv,0.89,0,0
265,2010,1,12,0,21,-22,-15,1031,cv,1.78,0,0
266,2010,1,12,1,21,-22,-14,1031,NE,1.79,0,0
270,2010,1,12,5,9,-25,-14,1030,NW,3.13,0,0
271,2010,1,12,6,11,-24,-14,1030,NW,7.15,0,0
273,2010,1,12,8,16,-26,-14,1030,NW,16.98,0,0
274,2010,1,12,9,13,-25,-12,1031,NW,21,0,0
278,2010,1,12,13,22,-22,-11,1029,NW,63.02,0,0
279,2010,1,12,14,22,-23,-11,1029,NW,75.98,0,0
283,2010,1,12,18,25,-24,-11,1032,NW,118,0,0
284,2010,1,12,19,25,-23,-11,1032,NW,126.05,0,0
285,2010,1,12,20,31,-23,-12,1032,NW,134.1,0,0
286,2010,1,12,21,25,-24,-12,1033,NW,142.15,0,0
287,2010,1,12,22,22,-23,-12,1033,NW,150.2,0,0
289,2010,1,13,0,15,-24,-12,1034,NW,169.86,0,0
290,2010,1,13,1,16,-24,-12,1033,NW,178.8,0,0
291,2010,1,13,2,11,-25,-12,1033,NW,189.98,0,0
292,2010,1,13,3,11,-24,-13,1033,NW,198.03,0,0
293,2010,1,13,4,12,-25,-12,1032,NW,205.18,0,0
294,2010,1,13,5,11,-25,-12,1033,NW,215.01,0,0
295,2010,1,13,6,12,-25,-12,1032,NW,226.19,0,0
298,2010,1,13,9,34,-23,-11,1033,NW,252.12,0,0
300,2010,1,13,11,36,-22,-9,1033,NW,263.74,0,0
302,2010,1,13,13,49,-21,-6,1030,NW,278.94,0,0
304,2010,1,13,15,47,-22,-5,1028,NW,294.14,0,0
305,2010,1,13,16,47,-21,-5,1028,NW,299.06,0,0
306,2010,1,13,17,39,-19,-7,1028,SE,1.79,0,0
307,2010,1,13,18,59,-19,-8,1028,cv,0.45,0,0
309,2010,1,13,20,96,-19,-10,1027,SE,1.79,0,0
311,2010,1,13,22,68,-18,-12,1027,cv,1.78,0,0
312,2010,1,13,23,65,-18,-13,1027,NE,0.89,0,0
313,2010,1,14,0,75,-18,-14,1026,NE,1.78,0,0
314,2010,1,14,1,257,-20,-15,1025,NE,2.67,0,0
315,2010,1,14,2,174,-20,-15,1025,NW,0.89,0,0
316,2010,1,14,3,164,-20,-16,1025,NW,1.78,0,0
317,2010,1,14,4,161,-20,-16,1024,NW,3.57,0,0
319,2010,1,14,6,92,-19,-14,1023,NW,10.72,0,0
321,2010,1,14,8,87,-19,-15,1024,NW,15.64,0,0
324,2010,1,14,11,95,-17,-9,1023,NW,24.58,0,0
326,2010,1,14,13,75,-17,-5,1022,NW,28.16,0,0
327,2010,1,14,14,79,-16,-5,1022,NW,29.95,0,0
328,2010,1,14,15,86,-15,-4,1022,NW,33.08,0,0
330,2010,1,14,17,89,-15,-5,1025,SE,1.79,0,0
331,2010,1,14,18,94,-14,-3,1026,NW,5.81,0,0
332,2010,1,14,19,69,-16,-3,1027,NW,11.62,0,0
335,2010,1,14,22,27,-17,-6,1032,NE,3.13,0,0
337,2010,1,15,0,36,-19,-7,1034,NE,13.86,0,0
340,2010,1,15,3,18,-19,-10,1036,NW,14.75,0,0
341,2010,1,15,4,21,-19,-9,1036,NW,19.67,0,0
342,2010,1,15,5,13,-19,-9,1036,NE,7.15,0,0
343,2010,1,15,6,23,-20,-9,1037,NE,12.96,0,0
345,2010,1,15,8,27,-19,-8,1038,NE,22.79,0,0
347,2010,1,15,10,28,-19,-7,1039,NE,35.75,0,0
349,2010,1,15,12,26,-18,-5,1039,NE,45.58,0,0
350,2010,1,15,13,31,-17,-4,1038,NW,1.79,0,0
355,2010,1,15,18,83,-15,-6,1036,cv,0.89,0,0
357,2010,1,15,20,90,-14,-6,1037,SE,1.79,0,0
359,2010,1,15,22,94,-14,-10,1037,cv,0.89,0,0
360,2010,1,15,23,87,-15,-11,1036,cv,1.78,0,0
361,2010,1,16,0,141,-15,-11,1036,cv,2.67,0,0
362,2010,1,16,1,211,-16,-13,1036,NE,0.89,0,0
364,2010,1,16,3,271,-16,-13,1035,NE,0.89,0,0
365,2010,1,16,4,249,-15,-12,1035,NE,1.78,0,0
366,2010,1,16,5,200,-14,-10,1034,NW,1.79,0,0
367,2010,1,16,6,147,-15,-10,1034,NW,2.68,0,0
368,2010,1,16,7,114,-15,-11,1034,NW,4.47,0,0
370,2010,1,16,9,108,-14,-9,1034,NW,8.05,0,0
371,2010,1,16,10,135,-14,-9,1034,NW,9.84,0,0
372,2010,1,16,11,120,-13,-6,1034,cv,0.89,0,0
373,2010,1,16,12,148,-13,-5,1033,NW,1.79,0,0
374,2010,1,16,13,127,-12,-4,1031,cv,0.89,0,0
376,2010,1,16,15,140,-12,-3,1030,cv,2.67,0,0
382,2010,1,16,21,261,-12,-9,1032,cv,3.12,0,0
384,2010,1,16,23,266,-14,-11,1032,NW,2.68,0,0
385,2010,1,17,0,263,-15,-12,1032,NW,5.81,0,0
387,2010,1,17,2,205,-14,-11,1031,cv,1.34,0,0
390,2010,1,17,5,148,-14,-10,1030,NW,6.71,0,0
391,2010,1,17,6,208,-14,-11,1030,NW,9.84,0,0
392,2010,1,17,7,209,-15,-10,1030,NW,11.63,0,0
396,2010,1,17,11,230,-11,-5,1030,cv,1.34,0,0
397,2010,1,17,12,170,-11,-4,1029,cv,2.23,0,0
399,2010,1,17,14,154,-10,-1,1027,cv,4.01,0,0
400,2010,1,17,15,166,-11,-1,1027,cv,4.46,0,0
401,2010,1,17,16,177,-10,-1,1026,SE,0.89,0,0
402,2010,1,17,17,191,-10,-3,1026,SE,1.78,0,0
405,2010,1,17,20,268,-11,-7,1027,cv,0.45,0,0
406,2010,1,17,21,317,-10,-7,1027,cv,0.9,0,0
410,2010,1,18,1,282,-13,-11,1028,NW,3.13,0,0
411,2010,1,18,2,303,-11,-9,1028,NW,4.92,0,0
413,2010,1,18,4,407,-13,-11,1028,NW,7.6,0,0
415,2010,1,18,6,234,-14,-11,1028,NW,0.89,0,0
418,2010,1,18,9,184,-11,-6,1028,NW,9.83,0,0
419,2010,1,18,10,161,-10,-5,1028,NW,11.62,0,0
420,2010,1,18,11,137,-9,-3,1028,NW,13.41,0,0
421,2010,1,18,12,146,-8,-1,1027,NW,15.2,0,0
422,2010,1,18,13,144,-9,0,1026,NW,16.99,0,0
423,2010,1,18,14,154,-9,1,1025,NE,1.79,0,0
429,2010,1,18,20,435,-5,-2,1026,cv,0.89,0,0
431,2010,1,18,22,360,-5,-1,1026,NW,3.58,0,0
433,2010,1,19,0,358,-4,-1,1025,NW,1.79,0,0
434,2010,1,19,1,383,-5,-1,1024,NW,4.92,0,0
435,2010,1,19,2,332,-5,-1,1024,NW,6.71,0,0
439,2010,1,19,6,330,-4,-1,1021,NW,12.07,0,0
443,2010,1,19,10,323,-4,0,1021,cv,0.89,0,0
444,2010,1,19,11,339,-5,1,1021,NW,1.79,0,0
445,2010,1,19,12,301,-5,1,1020,cv,0.89,0,0
446,2010,1,19,13,310,-4,1,1019,cv,1.34,0,0
447,2010,1,19,14,305,-4,1,1018,NE,0.89,0,0
448,2010,1,19,15,313,-3,2,1018,cv,0.45,0,0
449,2010,1,19,16,336,-3,2,1018,cv,1.34,0,0
450,2010,1,19,17,357,-2,2,1018,NE,0.89,0,0
451,2010,1,19,18,485,-3,1,1018,cv,0.89,0,0
452,2010,1,19,19,426,-3,2,1020,NW,1.79,0,0
454,2010,1,19,21,374,-3,0,1021,NW,6.71,0,0
455,2010,1,19,22,333,-3,0,1021,NW,8.5,0,0
459,2010,1,20,2,368,-4,-2,1022,NW,19.68,0,0
460,2010,1,20,3,267,-2,-1,1023,NW,25.49,0,0
461,2010,1,20,4,71,-3,1,1023,NW,28.62,0,0
462,2010,1,20,5,81,-3,0,1024,NW,31.75,0,0
463,2010,1,20,6,51,-5,2,1026,NW,36.67,0,0
466,2010,1,20,9,45,-10,0,1030,NW,55.89,0,0
468,2010,1,20,11,29,-13,0,1033,NW,71.09,0,0
469,2010,1,20,12,27,-13,0,1033,NW,78.24,0,0
470,2010,1,20,13,29,-13,-1,1033,NE,8.05,0,0
472,2010,1,20,15,23,-15,-1,1032,NE,5.81,0,0
474,2010,1,20,17,22,-15,-2,1033,NW,12.96,0,0
478,2010,1,20,21,20,-18,-4,1037,NW,46.93,0,0
479,2010,1,20,22,20,-19,-4,1038,NW,55.87,0,0
480,2010,1,20,23,18,-19,-5,1038,NW,65.7,0,0
481,2010,1,21,0,18,-20,-6,1038,NW,75.53,0,0
482,2010,1,21,1,17,-20,-6,1038,NW,85.36,0,0
483,2010,1,21,2,17,-20,-7,1038,NW,95.19,0,0
484,2010,1,21,3,17,-22,-8,1038,NW,103.24,0,0
485,2010,1,21,4,15,-23,-8,1038,NW,111.29,0,0
486,2010,1,21,5,19,-24,-9,1038,NW,118.44,0,0
487,2010,1,21,6,16,-24,-9,1038,NW,128.27,0,0
489,2010,1,21,8,18,-25,-8,1039,NW,147.04,0,0
490,2010,1,21,9,18,-25,-8,1039,NW,155.98,0,0
491,2010,1,21,10,26,-22,-7,1039,NW,160.9,0,0
492,2010,1,21,11,26,-22,-7,1038,NE,3.13,0,0
494,2010,1,21,13,24,-21,-5,1035,NE,3.13,0,0
495,2010,1,21,14,15,-21,-4,1034,SE,1.79,0,0
496,2010,1,21,15,17,-20,-3,1034,NE,1.79,0,0
498,2010,1,21,17,21,-20,-2,1033,NW,10.73,0,0
499,2010,1,21,18,40,-20,-2,1034,NW,15.65,0,0
502,2010,1,21,21,61,-17,-8,1035,NE,0.89,0,0
503,2010,1,21,22,72,-18,-9,1035,NW,1.79,0,0
505,2010,1,22,0,35,-18,-6,1036,NW,7.6,0,0
507,2010,1,22,2,26,-21,-5,1037,NW,27.26,0,0
510,2010,1,22,5,15,-20,-7,1035,NW,48.27,0,0
511,2010,1,22,6,22,-20,-7,1035,NW,54.08,0,0
512,2010,1,22,7,21,-20,-7,1036,NW,59,0,0
516,2010,1,22,11,22,-19,-4,1036,NW,84.03,0,0
518,2010,1,22,13,32,-18,-3,1034,NW,105.04,0,0
521,2010,1,22,16,30,-18,-2,1032,NW,133.64,0,0
522,2010,1,22,17,32,-18,-2,1032,NW,139.45,0,0
524,2010,1,22,19,49,-17,-5,1033,NW,149.29,0,0
525,2010,1,22,20,47,-18,-4,1033,NW,153.31,0,0
526,2010,1,22,21,39,-17,-4,1032,NW,159.12,0,0
527,2010,1,22,22,35,-17,-4,1032,NW,164.04,0,0
529,2010,1,23,0,49,-17,-4,1033,NW,172.08,0,0
530,2010,1,23,1,24,-17,-8,1033,cv,0.89,0,0
531,2010,1,23,2,23,-17,-5,1032,NW,4.92,0,0
532,2010,1,23,3,20,-18,-6,1032,NW,8.05,0,0
536,2010,1,23,7,24,-18,-7,1031,NW,24.14,0,0
537,2010,1,23,8,24,-18,-6,1031,NW,25.93,0,0
538,2010,1,23,9,41,-18,-2,1031,NW,30.85,0,0
539,2010,1,23,10,23,-17,-1,1031,NW,38.9,0,0
540,2010,1,23,11,19,-17,0,1030,NW,46.95,0,0
545,2010,1,23,16,22,-19,3,1024,NW,86.3,0,0
547,2010,1,23,18,,-18,1,1024,NW,96.14,0,0
548,2010,1,23,19,,-17,0,1024,NW,100.16,0,0
549,2010,1,23,20,,-18,0,1024,SE,1.79,0,0
551,2010,1,23,22,,-16,0,1023,NW,1.79,0,0
552,2010,1,23,23,,-16,0,1023,NW,4.92,0,0
553,2010,1,24,0,,-15,-2,1022,NW,6.71,0,0
555,2010,1,24,2,,-14,-8,1021,NW,1.79,0,0
556,2010,1,24,3,,-16,-11,1021,NW,3.58,0,0
557,2010,1,24,4,,-14,-9,1019,NW,4.47,0,0
558,2010,1,24,5,,-15,-10,1019,cv,0.89,0,0
560,2010,1,24,7,,-15,-12,1019,cv,0.89,0,0
563,2010,1,24,10,,-12,-4,1019,cv,1.78,0,0
564,2010,1,24,11,,-13,0,1019,cv,2.67,0,0
565,2010,1,24,12,,-16,4,1018,NW,4.02,0,0
566,2010,1,24,13,,-19,5,1017,NW,13.85,0,0
567,2010,1,24,14,,-18,5,1017,NW,22.79,0,0
568,2010,1,24,15,,-19,5,1017,NW,32.62,0,0
573,2010,1,24,20,,-20,-2,1028,NW,89.84,0,0
575,2010,1,24,22,,-25,-4,1030,NW,113.98,0,0
576,2010,1,24,23,,-26,-5,1031,NW,129.18,0,0
577,2010,1,25,0,,-25,-5,1031,NW,141.25,0,0
578,2010,1,25,1,,-25,-6,1031,NW,150.19,0,0
579,2010,1,25,2,,-24,-6,1032,NW,162.26,0,0
583,2010,1,25,6,,-21,-7,1033,NW,192.65,0,0
585,2010,1,25,8,,-21,-6,1035,NW,201.59,0,0
587,2010,1,25,10,,-22,-3,1036,NW,216.34,0,0
589,2010,1,25,12,,-23,-1,1035,NW,230.2,0,0
591,2010,1,25,14,,-25,2,1032,NW,245.4,0,0
592,2010,1,25,15,,-25,2,1031,NW,252.55,0,0
593,2010,1,25,16,,-24,2,1031,NW,257.47,0,0
598,2010,1,25,21,,-18,-1,1031,SE,15.2,0,0
599,2010,1,25,22,,-18,-5,1030,cv,0.89,0,0
600,2010,1,25,23,,-18,-3,1030,SE,3.13,0,0
601,2010,1,26,0,,-16,-9,1030,cv,0.89,0,0
602,2010,1,26,1,,-16,-8,1029,cv,1.78,0,0
603,2010,1,26,2,,-16,-11,1029,cv,2.23,0,0
604,2010,1,26,3,,-16,-12,1029,cv,3.12,0,0
606,2010,1,26,5,,-17,-10,1028,NW,4.92,0,0
609,2010,1,26,8,,-18,-13,1028,NE,1.79,0,0
610,2010,1,26,9,,-16,-8,1028,NW,4.02,0,0
611,2010,1,26,10,,-16,-6,1027,NW,5.81,0,0
612,2010,1,26,11,,-15,-3,1027,cv,0.89,0,0
614,2010,1,26,13,85,-18,0,1024,SE,3.58,0,0
615,2010,1,26,14,90,-19,1,1023,cv,0.89,0,0
619,2010,1,26,18,199,-13,-3,1021,SE,6.7,0,0
620,2010,1,26,19,231,-13,-3,1021,cv,0.89,0,0
622,2010,1,26,21,340,-13,-6,1020,NW,1.79,0,0
623,2010,1,26,22,298,-11,-5,1020,cv,0.89,0,0
624,2010,1,26,23,268,-11,-4,1019,NW,1.79,0,0
626,2010,1,27,1,300,-12,-3,1018,NW,5.37,0,0
628,2010,1,27,3,213,-11,-4,1016,NW,10.29,0,0
629,2010,1,27,4,171,-12,-3,1016,NW,12.08,0,0
631,2010,1,27,6,153,-11,-5,1015,NW,17,0,0
632,2010,1,27,7,140,-11,-4,1015,NW,18.79,0,0
633,2010,1,27,8,147,-11,-3,1015,NE,3.13,0,0
634,2010,1,27,9,158,-10,-1,1015,NE,6.26,0,0
635,2010,1,27,10,153,-9,1,1015,NE,9.39,0,0
636,2010,1,27,11,154,-9,3,1015,NW,1.79,0,0
637,2010,1,27,12,143,-9,4,1014,NW,4.92,0,0
638,2010,1,27,13,90,-9,6,1013,NW,8.05,0,0
639,2010,1,27,14,55,-13,8,1012,NW,16.1,0,0
641,2010,1,27,16,41,-14,7,1014,NW,32.2,0,0
642,2010,1,27,17,29,-13,7,1015,NW,39.35,0,0
643,2010,1,27,18,37,-13,5,1016,NW,47.4,0,0
645,2010,1,27,20,56,-13,3,1019,NW,56.34,0,0
646,2010,1,27,21,38,-14,3,1020,NW,62.15,0,0
647,2010,1,27,22,37,-14,3,1021,NW,67.96,0,0
648,2010,1,27,23,28,-14,0,1022,NW,71.98,0,0
651,2010,1,28,2,27,-15,-1,1024,NE,12.07,0,0
653,2010,1,28,4,27,-15,-2,1025,NE,21.01,0,0
654,2010,1,28,5,32,-15,-3,1025,NE,25.03,0,0
656,2010,1,28,7,28,-15,-3,1026,NW,8.05,0,0
657,2010,1,28,8,18,-16,-3,1027,NW,12.97,0,0
664,2010,1,28,15,23,-25,1,1026,NW,72.41,0,0
666,2010,1,28,17,13,-25,0,1026,NW,91.18,0,0
667,2010,1,28,18,14,-22,0,1027,NW,99.23,0,0
670,2010,1,28,21,25,-21,-4,1028,NE,0.89,0,0
671,2010,1,28,22,20,-21,-2,1027,NW,4.02,0,0
672,2010,1,28,23,25,-22,-2,1027,NW,7.15,0,0
673,2010,1,29,0,19,-22,-1,1027,NW,12.07,0,0
674,2010,1,29,1,24,-21,-4,1027,NW,15.2,0,0
677,2010,1,29,4,24,-20,-7,1025,cv,0.89,0,0
681,2010,1,29,8,16,-21,-1,1025,NW,9.83,0,0
686,2010,1,29,13,12,-24,5,1022,NW,50.07,0,0
687,2010,1,29,14,12,-25,6,1020,NW,57.22,0,0
689,2010,1,29,16,36,-23,6,1020,NW,72.42,0,0
690,2010,1,29,17,42,-22,5,1020,NW,78.23,0,0
692,2010,1,29,19,26,-20,5,1020,NW,89.85,0,0
693,2010,1,29,20,24,-20,3,1020,NW,93.87,0,0
699,2010,1,30,2,65,-15,-1,1020,cv,1.79,0,0
700,2010,1,30,3,70,-15,-2,1020,NW,0.89,0,0
705,2010,1,30,8,29,-15,-6,1021,cv,0.89,0,0
706,2010,1,30,9,35,-15,0,1021,NW,4.02,0,0
707,2010,1,30,10,35,-18,3,1021,NW,8.04,0,0
708,2010,1,30,11,33,-21,5,1020,NW,12.96,0,0
710,2010,1,30,13,25,-22,7,1019,NW,25.92,0,0
712,2010,1,30,15,26,-23,7,1018,NW,45.58,0,0
713,2010,1,30,16,32,-23,7,1017,NW,52.73,0,0
716,2010,1,30,19,45,-21,5,1019,NW,70.16,0,0
717,2010,1,30,20,71,-19,4,1019,NW,74.18,0,0
